Metric,Value
route__net__special,2
route__drc_errors__iter:1,1433
route__wirelength__iter:1,107276
route__drc_errors__iter:2,781
route__wirelength__iter:2,106450
route__drc_errors__iter:3,692
route__wirelength__iter:3,106447
route__drc_errors__iter:4,43
route__wirelength__iter:4,106270
route__drc_errors__iter:5,0
route__wirelength__iter:5,106232
route__drc_errors,0
route__wirelength,106232
route__vias,20151
route__vias__singlecut,20151
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,363.395
timing__unannotated_net__count__corner:nom_tt_025C_1v80,39
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,39
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,39
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,67
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.280128511649404
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2761864981555309
timing__hold__ws__corner:min_tt_025C_1v80,0.34976639241566665
timing__setup__ws__corner:min_tt_025C_1v80,10.759242690208133
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.349766
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,16.376034
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,39
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,0
design__max_fanout_violation__count__corner:min_ss_100C_1v60,67
design__max_cap_violation__count__corner:min_ss_100C_1v60,0
clock__skew__worst_hold__corner:min_ss_100C_1v60,-0.294867000273892
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.28720579505349
timing__hold__ws__corner:min_ss_100C_1v60,0.9516229185121812
timing__setup__ws__corner:min_ss_100C_1v60,9.298603039635296
