Metric,Value
design__instance__count__class:clock_inverter,1004
design__instance__count__hold_buffer,0
design__instance__count__setup_buffer,0
antenna__violating__nets,490
antenna__violating__pins,509
route__antenna_violation__count,490
design__instance__count__class:antenna_cell,152
antenna_diodes_count,0
route__net,97121
route__net__special,2
route__drc_errors__iter:1,24129
route__wirelength__iter:1,4173380
route__drc_errors__iter:2,7084
route__wirelength__iter:2,4158626
route__drc_errors__iter:3,5086
route__wirelength__iter:3,4155153
route__drc_errors__iter:4,148
route__wirelength__iter:4,4154693
route__drc_errors__iter:5,0
route__wirelength__iter:5,4154694
route__drc_errors,0
route__wirelength,4154694
route__vias,647620
route__vias__singlecut,647620
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,776.04
timing__unannotated_net__count__corner:nom_tt_025C_1v80,2456
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,2456
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,2456
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-1.7746957739026306
clock__skew__worst_setup__corner:min_tt_025C_1v80,1.4901167388441179
timing__hold__ws__corner:min_tt_025C_1v80,0.3506230960368479
timing__setup__ws__corner:min_tt_025C_1v80,11.59018158697282
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.350623
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,11.590181
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,2456
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,0
design__max_fanout_violation__count__corner:min_ss_100C_1v60,0
design__max_cap_violation__count__corner:min_ss_100C_1v60,0
clock__skew__worst_hold__corner:min_ss_100C_1v60,-2.996282196052291
clock__skew__worst_setup__corner:min_ss_100C_1v60,2.44830318504121
timing__hold__ws__corner:min_ss_100C_1v60,0.07289991039389715
timing__setup__ws__corner:min_ss_100C_1v60,-0.8119798396815703
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,-0.8119798396815703
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,-0.8119798396815703
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,0.994319
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,1
timing__setup_r2r__ws__corner:min_ss_100C_1v60,-0.811980
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,1
timing__unannotated_net__count__corner:min_ss_100C_1v60,2456
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,0
design__max_cap_violation__count__corner:min_ff_n40C_1v95,0
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-1.2865159302020528
clock__skew__worst_setup__corner:min_ff_n40C_1v95,1.0925102243216787
timing__hold__ws__corner:min_ff_n40C_1v95,0.09844014770851627
timing__setup__ws__corner:min_ff_n40C_1v95,16.28765080020992
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
