Metric,Value
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.166640
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,14.210736
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,355
design__max_fanout_violation__count__corner:max_tt_025C_1v80,0
design__max_cap_violation__count__corner:max_tt_025C_1v80,29
clock__skew__worst_hold__corner:max_tt_025C_1v80,-1.871540753124251
clock__skew__worst_setup__corner:max_tt_025C_1v80,1.8462851770011965
timing__hold__ws__corner:max_tt_025C_1v80,0.4150886418741276
timing__setup__ws__corner:max_tt_025C_1v80,10.411563461626638
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.415089
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,10.411564
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,2885
design__max_fanout_violation__count__corner:max_ss_100C_1v60,0
design__max_cap_violation__count__corner:max_ss_100C_1v60,165
clock__skew__worst_hold__corner:max_ss_100C_1v60,-3.117242552318429
clock__skew__worst_setup__corner:max_ss_100C_1v60,3.0651690941878824
timing__hold__ws__corner:max_ss_100C_1v60,1.0284096088029142
timing__setup__ws__corner:max_ss_100C_1v60,1.3163870366359176
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,0.0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0.0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,1.028410
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,1.316387
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,191
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,0
design__max_cap_violation__count__corner:max_ff_n40C_1v95,3
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-1.3532773062968855
clock__skew__worst_setup__corner:max_ff_n40C_1v95,1.3396483190834354
timing__hold__ws__corner:max_ff_n40C_1v95,0.17674606722911307
timing__setup__ws__corner:max_ff_n40C_1v95,13.250839023319013
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.176746
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,13.882565
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
design__max_slew_violation__count,2885
design__max_fanout_violation__count,0
design__max_cap_violation__count,165
clock__skew__worst_hold,-1.2101010536127823
clock__skew__worst_setup,1.182191378251996
timing__hold__ws,0.16664026186165087
timing__setup__ws,1.3163870366359176
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.166640
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,1.316387
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 2500.0 1800.0
design__core__bbox,50.14 51.68 2449.96 1748.96
design__io,154
design__die__area,4.5E+6
design__core__area,4.07317E+6
design__instance__count__stdcell,15537
design__instance__area__stdcell,23462.5
design__instance__count__macros,3
design__instance__area__macros,2.91834E+6
design__instance__utilization,0.72224
design__instance__utilization__stdcell,0.0203169
design__instance__count__class:macro,3
design__instance__count__class:multi_input_combinational_cell,1
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,83237
design__instance__count__class:tap_cell,13543
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
floorplan__design__io,152
design__io__hpwl,83357900
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,507786
design__violations,0
design__instance__count__class:timing_repair_buffer,232
design__instance__count__class:clock_buffer,3
design__instance__count__class:clock_inverter,1
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,81
antenna__violating__nets,0
antenna__violating__pins,0
design__instance__count__class:antenna_cell,1757
route__antenna_violation__count,0
antenna_diodes_count,1715
route__net,636
route__net__special,2
route__drc_errors__iter:1,126
route__wirelength__iter:1,560337
route__drc_errors__iter:2,9
route__wirelength__iter:2,560177
route__drc_errors__iter:3,1
route__wirelength__iter:3,560181
route__drc_errors__iter:4,0
route__wirelength__iter:4,560182
route__drc_errors,0
route__wirelength,560182
route__vias,5153
route__vias__singlecut,5153
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,2841.67
timing__unannotated_net__count__corner:nom_tt_025C_1v80,1411
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,1411
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,1411
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,1411
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_ss_100C_1v60,1411
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,1411
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,1411
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,1411
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,1411
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,1411
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79969
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.8
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.000313919
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.000227065
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,2.77952E-7
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.000227065
design_powergrid__voltage__worst,0.000227065
design_powergrid__voltage__worst__net:VPWR,1.79969
design_powergrid__drop__worst,0.000313919
design_powergrid__drop__worst__net:VPWR,0.000313919
design_powergrid__voltage__worst__net:VGND,0.000227065
design_powergrid__drop__worst__net:VGND,0.000227065
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,2.85000000000000024160903312753223559639081940986216068267822265625E-7
ir__drop__worst,0.0003139999999999999887555224287183364140219055116176605224609375
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
